oxox----- [0] [0] [0] [0] [30] [2] [21] [4] [34] 
ox-xo---- [0] [0] [0] [0] [0] [0] [0] [0] [321] 
ox-x-o--- [0] [0] [31] [0] [71] [0] [7] [0] [101] 
ox-x----o [0] [0] [0] [0] [72] [2] [0] [0] [0] 
oxo-x---- [0] [0] [0] [181] [0] [145] [107] [2038] [47] 
ox-ox---- [0] [0] [0] [0] [0] [10] [3323] [680] [0] 
ox--xo--- [0] [0] [35] [291] [0] [0] [1163] [1124] [1513] 
ox--x-o-- [0] [0] [0] [623] [0] [0] [0] [2722] [91] 
ox--x--o- [0] [0] [0] [16015] [0] [14233] [11564] [0] [0] 
ox--x---o [0] [0] [466] [0] [0] [218] [2576] [104] [0] 
ox-o-x--- [0] [0] [0] [0] [1] [0] [187] [0] [4] 
ox--ox--- [0] [0] [0] [0] [0] [0] [0] [0] [62] 
ox---xo-- [0] [0] [0] [0] [0] [0] [0] [0] [0] 
ox---x-o- [0] [0] [0] [0] [35] [0] [0] [0] [81] 
ox---x--o [0] [0] [0] [2] [28] [0] [2] [2] [0] 
oxo----x- [0] [0] [0] [2] [2] [2] [2] [0] [2] 
ox-o---x- [0] [0] [0] [0] [4] [4] [0] [0] [6] 
ox--o--x- [0] [0] [0] [0] [0] [0] [0] [0] [0] 
ox---o-x- [0] [0] [0] [0] [2] [0] [2] [0] [10] 
ox----ox- [0] [0] [3] [2] [4] [2] [0] [0] [2] 
ox-----xo [0] [0] [4] [2] [4] [2] [2] [0] [0] 
-x-oxo--- [264] [0] [0] [0] [0] [0] [620] [986] [0] 
-x-ox-o-- [178] [0] [0] [0] [0] [0] [0] [2606] [2] 
-x-ox--o- [26009] [0] [0] [0] [0] [111] [7162] [0] [0] 
-x-ox---o [1016] [0] [0] [0] [0] [272] [0] [1474] [0] 
-x-oox--- [113] [0] [0] [0] [0] [0] [95] [2] [0] 
-x-o-xo-- [94] [0] [0] [0] [0] [0] [0] [0] [0] 
-x-o-x-o- [107] [0] [0] [0] [7] [0] [0] [0] [0] 
-x-oo--x- [0] [0] [0] [0] [0] [1] [0] [0] [0] 
-x-o-o-x- [2] [0] [0] [0] [2] [0] [0] [0] [0] 
-x-xo---o [44] [0] [0] [0] [0] [0] [0] [0] [0] 
