xo--x-x-o [0] [0] [0] [0] [0] [0] [0] [0] [0] 
xo--x--xo [0] [0] [1093] [5] [0] [53] [45] [0] [0] 
xoo--xx-- [0] [0] [0] [7] [0] [0] [0] [0] [0] 
xoo--x-x- [0] [0] [0] [3] [7] [0] [0] [0] [1] 
xoo--x--x [0] [0] [0] [1] [5] [0] [0] [0] [0] 
xo-o-x-x- [0] [0] [2] [0] [2] [0] [2] [0] [2] 
xo-o-x--x [0] [0] [1] [0] [2] [0] [2] [2] [0] 
xo--oxx-- [0] [0] [1] [657] [0] [0] [0] [3401] [5] 
xo--ox-x- [0] [0] [1] [0] [0] [0] [4729] [0] [330] 
xo--ox--x [0] [0] [101] [0] [0] [0] [0] [4058] [0] 
xo---xox- [0] [0] [0] [2] [32] [0] [0] [0] [4] 
xo---xo-x [0] [0] [3] [0] [8] [0] [0] [2] [0] 
xo---xxo- [0] [0] [0] [1] [2] [0] [0] [0] [1] 
xo---xx-o [0] [0] [2] [2] [1] [0] [0] [0] [0] 
xo---x-xo [0] [0] [2] [10] [15] [0] [7] [0] [0] 
xoo---xx- [0] [0] [0] [3] [0] [0] [0] [0] [4] 
xoo---x-x [0] [0] [0] [1] [2] [1] [0] [2] [0] 
xo--o-xx- [0] [0] [1] [6] [0] [0] [0] [0] [12] 
xo--o-x-x [0] [0] [4] [0] [0] [16] [0] [4250] [0] 
xo---oxx- [0] [0] [5] [2] [2] [0] [0] [0] [2] 
xo---ox-x [0] [0] [2] [2] [2] [0] [0] [2] [0] 
xo----xxo [0] [0] [0] [8] [2] [0] [0] [0] [0] 
xoo----xx [0] [0] [0] [2] [4] [1] [1] [0] [0] 
xo--o--xx [0] [0] [7] [0] [0] [0] [8102] [0] [0] 
xo----oxx [0] [0] [0] [0] [32] [3] [0] [0] [0] 
xxoxo---- [0] [0] [0] [0] [0] [10] [2051] [229] [208] 
xxo-ox--- [0] [0] [0] [273] [0] [0] [170] [910] [246] 
xxo-o-x-- [0] [0] [0] [12321] [0] [0] [0] [0] [0] 
xxo-o--x- [0] [0] [0] [90] [0] [1280] [38] [0] [232] 
xxo-o---x [0] [0] [0] [170] [0] [34] [383] [55] [0] 
xxox-o--- [0] [0] [0] [0] [9] [0] [2] [2] [5] 
xxo-xo--- [0] [0] [0] [7] [0] [0] [4] [2] [218] 
xxo--ox-- [0] [0] [0] [5] [2] [0] [0] [2] [2] 
xxo--o-x- [0] [0] [0] [2] [2] [0] [0] [0] [2] 
xxox--o-- [0] [0] [0] [0] [5] [14] [0] [5] [5] 
xxo-x-o-- [0] [0] [0] [0] [0] [0] [0] [0] [0] 
xxo--xo-- [0] [0] [0] [8] [14] [0] [0] [4] [2] 
xxo---ox- [0] [0] [0] [23] [2] [0] [0] [0] [2] 
xxo---o-x [0] [0] [0] [1] [2] [4] [0] [4] [0] 
xxox---o- [0] [0] [0] [0] [2] [1] [17] [0] [8] 
xxo-x--o- [0] [0] [0] [4] [0] [2] [77] [0] [1972] 
xxo--x-o- [0] [0] [0] [4] [6] [0] [50] [0] [7] 
xxox----o [0] [0] [0] [0] [5] [20] [41] [34] [0] 
xxo-x---o [0] [0] [0] [4] [0] [251] [51] [272] [0] 
xxo--x--o [0] [0] [0] [11] [34] [0] [920] [54] [0] 
xxo---x-o [0] [0] [0] [39] [4] [2] [0] [1] [0] 
xxo----xo [0] [0] [0] [2] [30] [95] [10] [0] [0] 
x-oxox--- [0] [0] [0] [0] [0] [0] [4136] [32] [49] 
x-oxo--x- [0] [98] [0] [0] [0] [717] [4157] [0] [224] 
x-oxo---x [0] [61] [0] [0] [0] [912] [1121] [109] [0] 
x-oxxo--- [0] [0] [0] [0] [0] [0] [19] [0] [569] 
x-ox-o-x- [0] [1] [0] [0] [2] [0] [5] [0] [2] 
x-oxx--o- [0] [0] [0] [0] [0] [26] [0] [0] [0] 
x-ox-x-o- [0] [2] [0] [0] [2] [0] [4] [0] [1] 
x-oxx---o [0] [9] [0] [0] [0] [341] [149] [0] [0] 
x-ox-x--o [0] [0] [0] [0] [4] [0] [6] [3] [0] 
x-ox---xo [0] [1] [0] [0] [37] [32] [62] [0] [0] 
x-o-xox-- [0] [3] [0] [127] [0] [0] [0] [0] [152] 
x-o-xo-x- [0] [17] [0] [0] [0] [0] [9] [0] [266] 
x-o-xxo-- [0] [0] [0] [0] [0] [0] [0] [0] [0] 
x-o-xx-o- [0] [2] [0] [3] [0] [0] [1] [0] [5] 
x-o-xx--o [0] [0] [0] [54489] [0] [0] [0] [1] [0] 
x-o-x-x-o [0] [12] [0] [0] [0] [569] [0] [0] [0] 
x-o-x--xo [0] [179] [0] [45] [0] [344] [0] [0] [0] 
x-o-oxx-- [0] [2] [0] [2905] [0] [0] [0] [1] [0] 
x-o-ox-x- [0] [14] [0] [51] [0] [0] [1196] [0] [8] 
x-o--xox- [0] [1] [0] [2] [5] [0] [0] [0] [1] 
x-o--xx-o [0] [0] [0] [25] [0] [0] [0] [0] [0] 
x-o--x-xo [0] [1] [0] [36] [448] [0] [1] [0] [0] 
x-o-o-xx- [0] [0] [0] [0] [0] [0] [0] [0] [0] 
x-o-o-x-x [0] [6] [0] [0] [0] [0] [0] [0] [0] 
x-o--oxx- [0] [2] [0] [2] [1] [0] [0] [0] [2] 
xx-xoo--- [0] [0] [43] [0] [0] [0] [892] [0] [0] 
xx--oox-- [0] [0] [150] [8135] [0] [0] [0] [1] [0] 
xx--oo-x- [0] [0] [4496] [1523] [0] [0] [11] [0] [19] 
xx--ox-o- [0] [0] [23464] [0] [0] [0] [0] [0] [0] 
xx-xo---o [0] [0] [0] [0] [0] [0] [0] [0] [0] 
xx--ox--o [0] [0] [2736] [0] [0] [0] [3] [0] [0] 
xx--o--xo [0] [0] [17450] [1] [0] [123] [0] [0] [0] 
x---ox-xo [0] [14] [2987] [381] [0] [0] [2748] [0] [0] 
xx-x-o-o- [0] [0] [2] [0] [2] [0] [2] [0] [1] 
xx--xo-o- [0] [0] [2] [1] [0] [0] [0] [0] [11] 
xx-x-o--o [0] [0] [5] [0] [4] [0] [14] [6] [0] 
xx--xo--o [0] [0] [335] [11] [0] [0] [0] [1] [0] 
xx---o-xo [0] [0] [2] [2] [2] [0] [2] [0] [0] 
x--xxo--o [0] [22] [371] [0] [0] [0] [156] [98] [0] 
x--x-o-xo [0] [4] [2] [0] [5] [0] [16] [0] [0] 
x---xo-xo [0] [70] [107] [0] [0] [0] [13] [0] [0] 
oxoxx---- [0] [0] [0] [0] [0] [0] [0] [0] [0] 
oxox-x--- [0] [0] [0] [0] [230] [0] [5] [2] [0] 
oxox---x- [0] [0] [0] [0] [1790] [1] [0] [0] [0] 
ox-xox--- [0] [0] [219] [0] [0] [0] [251] [27] [2240] 
ox-xxo--- [0] [0] [0] [0] [0] [0] [0] [934] [0] 
ox-x-o-x- [0] [0] [0] [0] [20] [0] [0] [0] [0] 
ox-xx---o [0] [0] [0] [0] [0] [0] [0] [0] [0] 
ox-x-x--o [0] [0] [9] [0] [8] [0] [2] [10] [0] 
ox-oxx--- [0] [0] [16] [0] [0] [0] [479] [42] [1] 
ox--xxo-- [0] [0] [4] [95] [0] [0] [0] [0] [8] 
ox--xx-o- [0] [0] [1] [1065] [0] [0] [12] [0] [2] 
ox--xx--o [0] [0] [1] [1] [0] [0] [5] [4] [0] 
ox-o-x-x- [0] [0] [1] [0] [11] [0] [5] [0] [1] 
ox--ox-x- [0] [0] [738] [1841] [0] [0] [344] [0] [1541] 
ox---xox- [0] [0] [3] [35] [32] [0] [0] [0] [4] 
-x-oxxo-- [107] [0] [3] [0] [0] [0] [0] [488] [39] 
-x-oxx-o- [1] [0] [0] [0] [0] [0] [17] [0] [0] 
-x-oox-x- [395] [0] [0] [0] [0] [0] [5823] [0] [0] 
xoxoxo-x- [0] [0] [0] [0] [0] [0] [0] [0] [0] 
xoxoxxo-- [0] [0] [0] [0] [0] [0] [0] [0] [43] 
xoxox-ox- [0] [0] [0] [0] [0] [0] [0] [0] [83] 
xoxoxx-o- [0] [0] [0] [0] [0] [0] [0] [0] [0] 
xoxoxx--o [0] [0] [0] [0] [0] [0] [30] [0] [0] 
xoxox--xo [0] [0] [0] [0] [0] [0] [29] [0] [0] 
xoxooxx-- [0] [0] [0] [0] [0] [0] [0] [2587] [4] 
xoxoox-x- [0] [0] [0] [0] [0] [0] [0] [0] [10823] 
xoxo-xox- [0] [0] [0] [0] [0] [0] [0] [0] [6] 
xoxo-xxo- [0] [0] [0] [0] [1] [0] [0] [0] [0] 
xoxo-xx-o [0] [0] [0] [0] [9] [0] [0] [0] [0] 
xoxo-x-xo [0] [0] [0] [0] [8] [0] [7] [0] [0] 
xoxoo-x-x [0] [0] [0] [0] [0] [904] [0] [1] [0] 
xoxo-ox-x [0] [0] [0] [0] [1] [0] [0] [1] [0] 
xoxoo--xx [0] [0] [0] [0] [0] [631] [0] [0] [0] 
xoxo--oxx [0] [0] [0] [0] [0] [0] [0] [0] [0] 
xoxxoxo-- [0] [0] [0] [0] [0] [0] [0] [1411] [9] 
xoxxo-ox- [0] [0] [0] [0] [0] [2792] [0] [0] [11480] 
xoxxo-o-x [0] [0] [0] [0] [0] [13] [0] [1552] [0] 
xoxxo--xo [0] [0] [0] [0] [0] [0] [5459] [0] [0] 
xox-o-xxo [0] [0] [0] [8577] [0] [0] [0] [0] [0] 
xoxxx-oo- [0] [0] [0] [0] [0] [0] [0] [0] [85] 
xoxx-xoo- [0] [0] [0] [0] [1] [0] [0] [0] [1] 
xoxx--oox [0] [0] [0] [0] [4] [1] [0] [0] [0] 
xoxxx-o-o [0] [0] [0] [0] [0] [6] [0] [100] [0] 
xoxx-xo-o [0] [0] [0] [0] [1] [0] [0] [31] [0] 
xoxx--oxo [0] [0] [0] [0] [15] [32] [0] [0] [0] 
xox-xxoo- [0] [0] [0] [1] [0] [0] [0] [0] [106] 
xox-x-oxo [0] [0] [0] [2685] [0] [15947] [0] [0] [0] 
xooxxo-x- [0] [0] [0] [0] [0] [0] [0] [0] [421] 
xooxx-ox- [0] [0] [0] [0] [0] [0] [0] [0] [0] 
xooxx--xo [0] [0] [0] [0] [0] [379] [0] [0] [0] 
xooxox-x- [0] [0] [0] [0] [0] [0] [3784] [0] [0] 
xooxox--x [0] [0] [0] [0] [0] [0] [382] [1612] [0] 
xoox-xox- [0] [0] [0] [0] [31] [0] [0] [0] [0] 
xoox-xo-x [0] [0] [0] [0] [19] [0] [0] [1] [0] 
xoox-x-ox [0] [0] [0] [0] [1] [0] [1] [0] [0] 
xoox-x-xo [0] [0] [0] [0] [0] [0] [0] [0] [0] 
xooxo--xx [0] [0] [0] [0] [0] [0] [1192] [0] [0] 
xoox-o-xx [0] [0] [0] [0] [0] [0] [0] [0] [0] 
xoox--oxx [0] [0] [0] [0] [37] [0] [0] [0] [0] 
xo-xoxox- [0] [0] [892] [0] [0] [0] [0] [0] [1] 
xo-xoxo-x [0] [0] [526] [0] [0] [0] [0] [562] [0] 
xo-xox-xo [0] [0] [0] [0] [0] [0] [297] [0] [0] 
xo-xoo-xx [0] [0] [0] [0] [0] [0] [9] [0] [0] 
xo-xo-oxx [0] [0] [3046] [0] [0] [1] [0] [0] [0] 
xo-xxoox- [0] [0] [0] [0] [0] [0] [0] [0] [629] 
xo-xxo-xo [0] [0] [232] [0] [0] [0] [7] [0] [0] 
xo-x-ooxx [0] [0] [0] [0] [8] [0] [0] [0] [0] 
xo-xx-oxo [0] [0] [0] [0] [0] [18366] [0] [0] [0] 
xo-x-xoxo [0] [0] [0] [0] [28] [0] [0] [0] [0] 
xoooxx-x- [0] [0] [0] [0] [0] [0] [0] [0] [806] 
xoo-xxox- [0] [0] [0] [0] [0] [0] [0] [0] [0] 
xoo-xxxo- [0] [0] [0] [0] [0] [0] [0] [0] [0] 
xoo-xxx-o [0] [0] [0] [32] [0] [0] [0] [0] [0] 
xoo-xx-xo [0] [0] [0] [4294] [0] [0] [0] [0] [0] 
xoo-xoxx- [0] [0] [0] [1] [0] [0] [0] [0] [130] 
xoo-x-xxo [0] [0] [0] [1] [0] [688] [0] [0] [0] 
xo-oxx-xo [0] [0] [291] [0] [0] [0] [41] [0] [0] 
xo--xoxxo [0] [0] [55] [0] [0] [0] [0] [0] [0] 
xo--xxoxo [0] [0] [0] [18585] [0] [0] [0] [0] [0] 
xoo-oxxx- [0] [0] [0] [0] [0] [0] [0] [0] [0] 
xoo-oxx-x [0] [0] [0] [0] [0] [0] [0] [223] [0] 
xoo--xxxo [0] [0] [0] [44] [0] [0] [0] [0] [0] 
xooo-x-xx [0] [0] [0] [0] [0] [0] [0] [0] [0] 
xoo-ox-xx [0] [0] [0] [0] [0] [0] [724] [0] [0] 
xoo--xoxx [0] [0] [0] [0] [13] [0] [0] [0] [0] 
xo-oox-xx [0] [0] [0] [0] [0] [0] [0] [0] [0] 
xo--oxxxo [0] [0] [0] [21495] [0] [0] [0] [0] [0] 
xo--oxoxx [0] [0] [1687] [0] [0] [0] [0] [0] [0] 
xxoxoo-x- [0] [0] [0] [0] [0] [0] [223] [0] [3028] 
xxoxox-o- [0] [0] [0] [0] [0] [0] [2377] [0] [0] 
xxoxox--o [0] [0] [0] [0] [0] [0] [2155] [0] [0] 
xxoxo--xo [0] [0] [0] [0] [0] [361] [997] [0] [0] 
xxo-oxx-o [0] [0] [0] [8217] [0] [0] [0] [0] [0] 
xxo-ox-xo [0] [0] [0] [5] [0] [0] [5407] [0] [0] 
xxo-ooxx- [0] [0] [0] [151] [0] [0] [0] [0] [2107] 
xxo-o-xxo [0] [0] [0] [115] [0] [12715] [0] [0] [0] 
xxoxxoo-- [0] [0] [0] [0] [0] [0] [0] [0] [199] 
xxox-oox- [0] [0] [0] [0] [7] [0] [0] [0] [19] 
xxoxxo-o- [0] [0] [0] [0] [0] [0] [0] [0] [202] 
xxoxx-o-o [0] [0] [0] [0] [0] [4] [0] [118] [0] 
xxox-xo-o [0] [0] [0] [0] [76] [0] [0] [1] [0] 
xxo-xxoo- [0] [0] [0] [0] [0] [0] [0] [0] [160] 
xxo-xxo-o [0] [0] [0] [0] [0] [0] [0] [604] [0] 
xxo--xoxo [0] [0] [0] [0] [538] [0] [0] [0] [0] 
xxoxx--oo [0] [0] [0] [0] [0] [1] [247] [0] [0] 
xxox-x-oo [0] [0] [0] [0] [1] [0] [52] [0] [0] 
xxo-xx-oo [0] [0] [0] [5] [0] [0] [2029] [0] [0] 
x-oxox-xo [0] [0] [0] [0] [0] [0] [1588] [0] [0] 
x-o-xxoxo [0] [0] [0] [0] [0] [0] [0] [0] [0] 
xx-xoo-xo [0] [0] [3901] [0] [0] [0] [0] [0] [0] 
xx-xxo-oo [0] [0] [235] [0] [0] [0] [19] [0] [0] 
oxoxox-x- [0] [0] [0] [0] [0] [0] [535] [0] [118] 
oxox-xox- [0] [0] [0] [0] [22] [0] [0] [0] [1] 
